time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served,event,moviegoer,wait_time_min
0,0,0,0,0,0,0,0,arrive,0,
0,0,0,0,1,0,0,0,join_cashier_queue,0,
0,0,0,0,1,0,0,0,arrive,1,
0,0,0,0,2,0,0,0,join_cashier_queue,1,
0,0,0,0,2,0,0,0,arrive,2,
0,0,0,0,3,0,0,0,join_cashier_queue,2,
0,0,0,0,3,0,0,0,start_purchase,0,
0,0,0,0,3,0,0,0,start_purchase,1,
0,0,0,0,3,0,0,0,start_purchase,2,
0.2,0,0,0,3,0,0,0,arrive,3,
0.2,0,0,0,4,0,0,0,join_cashier_queue,3,
0.2,0,0,0,4,0,0,0,start_purchase,3,
0.4,0,0,0,4,0,0,0,arrive,4,
0.4,0,0,0,5,0,0,0,join_cashier_queue,4,
0.4,0,0,0,5,0,0,0,start_purchase,4,
0.6,0,0,0,5,0,0,0,arrive,5,
0.6,1,0,0,5,0,0,0,join_cashier_queue,5,
0.8,1,0,0,5,0,0,0,arrive,6,
0.8,2,0,0,5,0,0,0,join_cashier_queue,6,
1.0,2,0,0,5,0,0,0,arrive,7,
1.0,3,0,0,5,0,0,0,join_cashier_queue,7,
1,3,0,0,4,0,0,0,ticket_purchased,1,
1,3,0,0,4,1,0,0,join_usher_queue,1,
1,3,0,0,3,1,0,0,ticket_purchased,2,
1,3,1,0,3,1,0,0,join_usher_queue,2,
1,2,1,0,4,1,0,0,start_ticket_check,1,
1,1,1,0,5,1,0,0,start_purchase,5,
1,1,1,0,5,1,0,0,start_purchase,6,
1.05,1,1,0,5,0,0,0,ticket_checked,1,
1.05,1,1,0,5,0,1,0,join_food_queue,1,
1.05,1,0,0,5,1,1,0,start_food_order,1,
1.05,1,0,0,5,1,1,0,start_ticket_check,2,
1.1,1,0,0,5,0,1,0,ticket_checked,2,
1.1,1,0,0,5,0,2,0,join_food_queue,2,
1.1,1,0,0,5,0,2,0,start_food_order,2,
1.2,1,0,0,5,0,2,0,arrive,8,
1.2,2,0,0,5,0,2,0,join_cashier_queue,8,
1.4,2,0,0,5,0,2,0,arrive,9,
1.4,3,0,0,5,0,2,0,join_cashier_queue,9,
1.6,3,0,0,5,0,2,0,arrive,10,
1.6,4,0,0,5,0,2,0,join_cashier_queue,10,
1.8,4,0,0,5,0,2,0,arrive,11,
1.8,5,0,0,5,0,2,0,join_cashier_queue,11,
2.0,5,0,0,5,0,2,0,arrive,12,
2.0,6,0,0,5,0,2,0,join_cashier_queue,12,
2,6,0,0,4,0,2,0,ticket_purchased,5,
2,6,0,0,4,1,2,0,join_usher_queue,5,
2,6,0,0,3,1,2,0,ticket_purchased,6,
2,6,1,0,3,1,2,0,join_usher_queue,6,
2,5,1,0,4,1,2,0,start_ticket_check,5,
2,4,1,0,5,1,2,0,start_purchase,7,
2,4,1,0,5,1,2,0,start_purchase,8,
2.05,4,1,0,5,1,1,0,food_received,1,
2.05,4,1,0,5,1,1,1,enter_theater,1,2.05
2.05,4,1,0,5,0,1,1,ticket_checked,5,
2.05,4,1,0,5,0,2,1,join_food_queue,5,
2.05,4,0,0,5,1,2,1,start_food_order,5,
2.05,4,0,0,5,1,2,1,start_ticket_check,6,
2.1,4,0,0,5,0,2,1,ticket_checked,6,
2.1,4,0,0,5,0,3,1,join_food_queue,6,
2.1,4,0,0,5,0,3,1,start_food_order,6,
2.2,4,0,0,5,0,3,1,arrive,13,
2.2,5,0,0,5,0,3,1,join_cashier_queue,13,
2.4,5,0,0,5,0,3,1,arrive,14,
2.4,6,0,0,5,0,3,1,join_cashier_queue,14,
2.4,6,0,0,4,0,3,1,ticket_purchased,4,
2.4,6,0,0,4,1,3,1,join_usher_queue,4,
2.4,5,0,0,5,1,3,1,start_ticket_check,4,
2.4,5,0,0,5,1,3,1,start_purchase,9,
2.45,5,0,0,5,0,3,1,ticket_checked,4,
2.45,5,0,1,5,0,3,1,join_food_queue,4,
2.6,5,0,1,5,0,3,1,arrive,15,
2.6,6,0,1,5,0,3,1,join_cashier_queue,15,
2.8,6,0,1,5,0,3,1,arrive,16,
2.8,7,0,1,5,0,3,1,join_cashier_queue,16,
3,7,0,1,4,0,3,1,ticket_purchased,0,
3,7,0,1,4,1,3,1,join_usher_queue,0,
3,7,0,1,3,1,3,1,ticket_purchased,8,
3,7,1,1,3,1,3,1,join_usher_queue,8,
3,6,1,1,4,1,3,1,start_ticket_check,0,
3,5,1,1,5,1,3,1,start_purchase,10,
3,5,1,1,5,1,3,1,start_purchase,11,
3.0,5,1,1,5,1,3,1,arrive,17,
3.0,6,1,1,5,1,3,1,join_cashier_queue,17,
3.05,6,1,1,5,1,2,1,food_received,5,
3.05,6,1,1,5,1,2,2,enter_theater,5,2.45
3.05,6,1,1,5,0,2,2,ticket_checked,0,
3.05,6,1,1,5,0,2,3,enter_theater,0,3.05
3.05,6,0,0,5,1,3,3,start_food_order,4,
3.05,6,0,0,5,1,3,3,start_ticket_check,8,
3.1,6,0,0,5,0,3,3,ticket_checked,8,
3.1,6,0,0,5,0,3,4,enter_theater,8,1.9
3.2,6,0,0,4,0,3,4,ticket_purchased,3,
3.2,6,0,0,4,1,3,4,join_usher_queue,3,
3.2,5,0,0,5,1,3,4,start_ticket_check,3,
3.2,5,0,0,5,1,3,4,start_purchase,12,
3.2,5,0,0,5,1,3,4,arrive,18,
3.2,6,0,0,5,1,3,4,join_cashier_queue,18,
3.25,6,0,0,5,0,3,4,ticket_checked,3,
3.25,6,0,0,5,0,3,5,enter_theater,3,3.05
3.4,6,0,0,5,0,3,5,arrive,19,
3.4,7,0,0,5,0,3,5,join_cashier_queue,19,
3.6,7,0,0,5,0,3,5,arrive,20,
3.6,8,0,0,5,0,3,5,join_cashier_queue,20,
3.8,8,0,0,5,0,3,5,arrive,21,
3.8,9,0,0,5,0,3,5,join_cashier_queue,21,
4,9,0,0,4,0,3,5,ticket_purchased,7,
4,9,0,0,4,1,3,5,join_usher_queue,7,
4,9,0,0,3,1,3,5,ticket_purchased,11,
4,9,1,0,3,1,3,5,join_usher_queue,11,
4,8,1,0,4,1,3,5,start_ticket_check,7,
4,7,1,0,5,1,3,5,start_purchase,13,
4,7,1,0,5,1,3,5,start_purchase,14,
4.0,7,1,0,5,1,3,5,arrive,22,
4.0,8,1,0,5,1,3,5,join_cashier_queue,22,
4.05,8,1,0,5,0,3,5,ticket_checked,7,
4.05,8,1,0,5,0,3,6,enter_theater,7,3.05
4.05,8,0,0,5,1,3,6,start_ticket_check,11,
4.1,8,0,0,5,1,2,6,food_received,6,
4.1,8,0,0,5,1,2,7,enter_theater,6,3.3
4.1,8,0,0,5,0,2,7,ticket_checked,11,
4.1,8,0,0,5,0,2,8,enter_theater,11,2.3
4.2,8,0,0,5,0,2,8,arrive,23,
4.2,9,0,0,5,0,2,8,join_cashier_queue,23,
4.4,9,0,0,5,0,2,8,arrive,24,
4.4,10,0,0,5,0,2,8,join_cashier_queue,24,
4.6,10,0,0,5,0,2,8,arrive,25,
4.6,11,0,0,5,0,2,8,join_cashier_queue,25,
4.8,11,0,0,5,0,2,8,arrive,26,
4.8,12,0,0,5,0,2,8,join_cashier_queue,26,
5,12,0,0,4,0,2,8,ticket_purchased,13,
5,12,0,0,4,1,2,8,join_usher_queue,13,
5,12,0,0,3,1,2,8,ticket_purchased,14,
5,12,1,0,3,1,2,8,join_usher_queue,14,
5,11,1,0,4,1,2,8,start_ticket_check,13,
5,10,1,0,5,1,2,8,start_purchase,15,
5,10,1,0,5,1,2,8,start_purchase,16,
5.0,10,1,0,5,1,2,8,arrive,27,
5.0,11,1,0,5,1,2,8,join_cashier_queue,27,
5.05,11,1,0,5,1,1,8,food_received,4,
5.05,11,1,0,5,1,1,9,enter_theater,4,4.65
5.05,11,1,0,5,0,1,9,ticket_checked,13,
5.05,11,1,0,5,0,2,9,join_food_queue,13,
5.05,11,0,0,5,1,2,9,start_food_order,13,
5.05,11,0,0,5,1,2,9,start_ticket_check,14,
5.1,11,0,0,5,0,2,9,ticket_checked,14,
5.1,11,0,0,5,0,3,9,join_food_queue,14,
5.1,11,0,0,5,0,3,9,start_food_order,14,
5.2,11,0,0,5,0,3,9,arrive,28,
5.2,12,0,0,5,0,3,9,join_cashier_queue,28,
5.4,12,0,0,4,0,3,9,ticket_purchased,9,
5.4,12,0,0,4,1,3,9,join_usher_queue,9,
5.4,11,0,0,5,1,3,9,start_ticket_check,9,
5.4,11,0,0,5,1,3,9,start_purchase,17,
5.4,11,0,0,5,1,3,9,arrive,29,
5.4,12,0,0,5,1,3,9,join_cashier_queue,29,
5.45,12,0,0,5,0,3,9,ticket_checked,9,
5.45,12,0,1,5,0,3,9,join_food_queue,9,
5.6,12,0,1,5,0,3,9,arrive,30,
5.6,13,0,1,5,0,3,9,join_cashier_queue,30,
5.8,13,0,1,5,0,3,9,arrive,31,
5.8,14,0,1,5,0,3,9,join_cashier_queue,31,
6,14,0,1,4,0,3,9,ticket_purchased,10,
6,14,0,1,4,1,3,9,join_usher_queue,10,
6,14,0,1,3,1,3,9,ticket_purchased,16,
6,14,1,1,3,1,3,9,join_usher_queue,16,
6,13,1,1,4,1,3,9,start_ticket_check,10,
6,12,1,1,5,1,3,9,start_purchase,18,
6,12,1,1,5,1,3,9,start_purchase,19,
6.0,12,1,1,5,1,3,9,arrive,32,
6.0,13,1,1,5,1,3,9,join_cashier_queue,32,
6.05,13,1,1,5,0,3,9,ticket_checked,10,
6.05,13,1,1,5,0,3,10,enter_theater,10,4.45
6.05,13,0,1,5,1,3,10,start_ticket_check,16,
6.1,13,0,1,5,1,2,10,food_received,2,
6.1,13,0,1,5,1,2,11,enter_theater,2,6.1
6.1,13,0,1,5,1,1,11,food_received,14,
6.1,13,0,1,5,1,1,12,enter_theater,14,3.7
6.1,13,0,1,5,0,1,12,ticket_checked,16,
6.1,13,0,1,5,0,2,12,join_food_queue,16,
6.1,13,0,0,5,0,3,12,start_food_order,9,
6.1,13,0,0,5,0,3,12,start_food_order,16,
6.2,13,0,0,4,0,3,12,ticket_purchased,12,
6.2,13,0,0,4,1,3,12,join_usher_queue,12,
6.2,12,0,0,5,1,3,12,start_ticket_check,12,
6.2,12,0,0,5,1,3,12,start_purchase,20,
6.2,12,0,0,5,1,3,12,arrive,33,
6.2,13,0,0,5,1,3,12,join_cashier_queue,33,
6.25,13,0,0,5,0,3,12,ticket_checked,12,
6.25,13,0,0,5,0,3,13,enter_theater,12,4.25
6.4,13,0,0,5,0,3,13,arrive,34,
6.4,14,0,0,5,0,3,13,join_cashier_queue,34,
6.6,14,0,0,5,0,3,13,arrive,35,
6.6,15,0,0,5,0,3,13,join_cashier_queue,35,
6.8,15,0,0,5,0,3,13,arrive,36,
6.8,16,0,0,5,0,3,13,join_cashier_queue,36,
7,16,0,0,4,0,3,13,ticket_purchased,15,
7,16,0,0,4,1,3,13,join_usher_queue,15,
7,15,0,0,5,1,3,13,start_ticket_check,15,
7,15,0,0,5,1,3,13,start_purchase,21,
7.0,15,0,0,5,1,3,13,arrive,37,
7.0,16,0,0,5,1,3,13,join_cashier_queue,37,
7.05,16,0,0,5,0,3,13,ticket_checked,15,
7.05,16,0,0,5,0,3,14,enter_theater,15,4.45
7.2,16,0,0,4,0,3,14,ticket_purchased,20,
7.2,16,0,0,4,1,3,14,join_usher_queue,20,
7.2,15,0,0,5,1,3,14,start_ticket_check,20,
7.2,15,0,0,5,1,3,14,start_purchase,22,
7.2,15,0,0,5,1,3,14,arrive,38,
7.2,16,0,0,5,1,3,14,join_cashier_queue,38,
7.25,16,0,0,5,0,3,14,ticket_checked,20,
7.25,16,0,0,5,0,3,15,enter_theater,20,3.65
7.4,16,0,0,4,0,3,15,ticket_purchased,17,
7.4,16,0,0,4,1,3,15,join_usher_queue,17,
7.4,15,0,0,5,1,3,15,start_ticket_check,17,
7.4,15,0,0,5,1,3,15,start_purchase,23,
7.4,15,0,0,5,1,3,15,arrive,39,
7.4,16,0,0,5,1,3,15,join_cashier_queue,39,
7.45,16,0,0,5,0,3,15,ticket_checked,17,
7.45,16,0,1,5,0,3,15,join_food_queue,17,
7.6,16,0,1,5,0,3,15,arrive,40,
7.6,17,0,1,5,0,3,15,join_cashier_queue,40,
7.8,17,0,1,5,0,3,15,arrive,41,
7.8,18,0,1,5,0,3,15,join_cashier_queue,41,
8,18,0,1,4,0,3,15,ticket_purchased,18,
8,18,0,1,4,1,3,15,join_usher_queue,18,
8,18,0,1,3,1,3,15,ticket_purchased,19,
8,18,1,1,3,1,3,15,join_usher_queue,19,
8,18,1,1,2,1,3,15,ticket_purchased,21,
8,18,2,1,2,1,3,15,join_usher_queue,21,
8,17,2,1,3,1,3,15,start_ticket_check,18,
8,15,2,1,5,1,3,15,start_purchase,24,
8,15,2,1,5,1,3,15,start_purchase,25,
8,15,2,1,5,1,3,15,start_purchase,26,
8.0,15,2,1,5,1,3,15,arrive,42,
8.0,16,2,1,5,1,3,15,join_cashier_queue,42,
8.05,16,2,1,5,1,2,15,food_received,13,
8.05,16,2,1,5,1,2,16,enter_theater,13,5.85
8.05,16,2,1,5,0,2,16,ticket_checked,18,
8.05,16,2,1,5,0,3,16,join_food_queue,18,
8.05,16,1,1,5,1,3,16,start_food_order,17,
8.05,16,1,1,5,1,3,16,start_ticket_check,19,
8.1,16,1,1,5,0,3,16,ticket_checked,19,
8.1,16,1,2,5,0,3,16,join_food_queue,19,
8.1,16,0,2,5,1,3,16,start_ticket_check,21,
8.15,16,0,2,5,0,3,16,ticket_checked,21,
8.15,16,0,3,5,0,3,16,join_food_queue,21,
8.2,16,0,3,5,0,3,16,arrive,43,
8.2,17,0,3,5,0,3,16,join_cashier_queue,43,
8.4,17,0,3,5,0,3,16,arrive,44,
8.4,18,0,3,5,0,3,16,join_cashier_queue,44,
