time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served
0,0,0,0,0,0,0,0
0.25,0,0,0,4,0,0,0
0.5,0,0,0,5,0,0,0
0.75,0,0,0,6,0,0,0
1.0,0,0,0,7,0,0,0
1.25,0,0,0,7,0,2,0
1.5,0,0,0,8,0,2,0
1.75,0,0,0,8,0,3,0
2.0,0,0,0,9,0,4,0
2.25,0,0,0,9,0,4,1
2.5,0,0,0,8,0,5,2
2.75,0,0,0,8,0,5,3
3.0,0,0,0,8,0,5,4
3.25,0,1,0,5,1,8,4
3.5,0,0,0,6,0,8,6
3.75,0,0,0,7,0,7,7
4.0,0,0,0,8,0,7,7
4.25,0,0,0,9,0,7,8
4.5,0,0,0,8,1,7,9
4.75,0,0,0,9,0,6,11
5.0,0,0,0,9,0,7,11
5.25,0,1,0,9,1,7,11
5.5,0,0,0,10,0,8,12
5.75,0,0,0,10,0,8,13
6.0,0,0,0,9,0,8,15
6.25,0,0,0,10,1,5,18
6.5,0,0,0,10,0,5,20
6.75,0,0,0,10,0,6,20
7.0,1,0,0,10,0,5,21
7.25,1,0,0,10,1,6,21
7.5,1,0,0,10,0,6,23
7.75,0,0,0,10,0,7,24
8.0,0,0,0,10,0,8,24
8.25,0,0,0,10,0,8,26
8.5,1,0,0,10,0,8,26
8.75,0,0,0,10,0,10,26
9.0,1,0,0,10,0,9,27
9.25,2,0,0,10,1,8,28
9.5,1,0,0,10,1,8,30
9.75,1,0,0,10,0,9,31
10.0,2,0,0,10,0,8,33
10.25,1,0,0,10,1,9,33
10.5,2,0,0,10,0,9,34
10.75,2,0,0,10,0,8,36
11.0,4,0,0,10,0,8,36
11.25,2,0,0,10,1,7,39
11.5,3,0,0,10,0,7,40
11.75,2,0,0,10,0,4,45
12.0,4,0,0,10,0,4,45
12.25,4,0,0,10,1,3,46
12.5,3,0,0,10,1,2,49
12.75,4,0,0,10,0,3,49
13.0,5,0,0,10,0,4,49
13.25,4,0,0,10,1,4,50
13.5,4,0,0,10,0,6,50
13.75,4,0,0,10,0,7,50
14.0,6,0,0,10,0,7,50
14.25,4,0,0,10,1,8,51
14.5,4,0,0,10,0,9,52
14.75,3,0,0,10,0,10,53
15.0,5,0,0,10,0,10,53
15.25,6,0,0,10,0,9,54
15.5,5,0,0,10,1,7,57
15.75,6,0,0,10,0,6,59
16.0,7,0,0,10,0,7,59
16.25,4,1,0,10,1,7,61
16.5,5,0,0,10,0,9,61
16.75,4,0,0,10,0,10,62
17.0,5,0,0,10,0,11,62
17.25,6,0,0,10,0,11,62
17.5,6,0,0,10,0,11,63
17.75,5,0,0,10,0,11,65
